# Where each service comes from, and what it is called in the icon set.
# script/enrich-services turns this into repo, stars and icon.svg on each entry.
#
# name	repo	icon
actual	actualbudget/actual	actual-budget
audiobookshelf	advplyr/audiobookshelf	audiobookshelf
bazarr	morpheus65535/bazarr	bazarr
beszel	henrygd/beszel	beszel
calibre-web	janeczku/calibre-web	calibre-web
code-server	coder/code-server	code-server
dashy	Lissy93/dashy	dashy
dockge	louislam/dockge	dockge
dozzle	amir20/dozzle	dozzle
drawio	jgraph/drawio	drawio
duplicati	duplicati/duplicati	duplicati
esphome	esphome/esphome	esphome
excalidraw	excalidraw/excalidraw	excalidraw
filebrowser	filebrowser/filebrowser	filebrowser
forgejo	forgejo/forgejo	forgejo
freshrss	FreshRSS/FreshRSS	freshrss
gitea	go-gitea/gitea	gitea
gotify	gotify/server	gotify
grocy	grocy/grocy	grocy
home-assistant	home-assistant/core	home-assistant
homarr	ajnart/homarr	homarr
homepage	gethomepage/homepage	homepage
it-tools	CorentinTh/it-tools	it-tools
jellyfin	jellyfin/jellyfin	jellyfin
jellyseerr	Fallenbagel/jellyseerr	jellyseerr
kavita	Kareadita/Kavita	kavita
komga	gotson/komga	komga
libretranslate	LibreTranslate/LibreTranslate	libretranslate
lidarr	Lidarr/Lidarr	lidarr
linkding	sissbruecker/linkding	linkding
mealie	mealie-recipes/mealie	mealie
memos	usememos/memos	memos
metube	alexta69/metube	metube
n8n	n8n-io/n8n	n8n
navidrome	navidrome/navidrome	navidrome
node-red	node-red/node-red	node-red
paperless	paperless-ngx/paperless-ngx	paperless-ngx
photoprism	photoprism/photoprism	photoprism
portainer	portainer/portainer	portainer
prowlarr	Prowlarr/Prowlarr	prowlarr
qbittorrent	qbittorrent/qBittorrent	qbittorrent
radarr	Radarr/Radarr	radarr
readarr	Readarr/Readarr	readarr
sabnzbd	sabnzbd/sabnzbd	sabnzbd
searxng	searxng/searxng	searxng
silverbullet	silverbulletmd/silverbullet	silverbullet
sonarr	Sonarr/Sonarr	sonarr
stirling-pdf	Stirling-Tools/Stirling-PDF	stirling-pdf
transmission	transmission/transmission	transmission
trilium	zadam/trilium	trilium
uptime-kuma	louislam/uptime-kuma	uptime-kuma
vaultwarden	dani-garcia/vaultwarden	vaultwarden
wg-easy	wg-easy/wg-easy	wg-easy
zigbee2mqtt	Koenkk/zigbee2mqtt	zigbee2mqtt
ntfy	binwiederhier/ntfy	ntfy
